desc	ogs	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
none	10914	1	1	1	1	1	1	1	1	1	1	0	1	1	1
none	10916	1	1	1	1	1	1	1	1	1	1	1	1	1	0
none	10917	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10920	1	1	1	1	1	1	1	1	1	3	3	3	3	3
none	10922.1	1	7	1	0	0	1	1	1	1	3	3	4	6	3
none	10922.2	1	1	2	2	2	2	2	2	2	1	1	1	1	1
none	10925	1	1	1	1	1	1	1	1	1	2	2	6	2	4
none	1093	1	1	1	1	1	1	1	1	1	0	1	1	1	1
none	10931	2	1	2	2	2	2	2	2	2	1	1	1	1	1
none	10939	1	1	1	1	1	1	1	1	1	1	1	1	1	5
none	10943	1	1	1	1	1	1	1	1	1	1	1	1	1	0
none	10946	1	1	1	2	1	1	1	1	1	1	1	1	1	1
none	10950.2	2	4	1	1	1	1	1	1	1	1	1	1	2	1
none	10960	1	1	1	2	1	1	1	1	1	1	1	1	1	1
none	10975	1	1	1	1	1	1	1	1	1	1	0	1	0	0
none	10976	1	1	2	2	2	2	2	2	2	1	1	1	1	4
none	10978	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10982	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10988	0	0	1	1	1	1	1	1	1	0	0	0	1	2
none	10991	1	3	1	1	1	1	1	1	1	1	1	1	1	0
none	10992	1	1	1	1	1	1	1	1	1	1	1	1	1	0
none	10996	1	1	1	2	1	1	1	1	1	1	1	1	1	0
none	10998	1	3	1	1	1	1	1	1	1	1	1	1	1	2
none	11	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	11000	8	4	7	6	6	7	10	7	7	6	6	5	11	7
none	11001	1	1	1	1	1	1	1	1	1	1	1	1	1	5
none	11002	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	11003	1	1	1	1	1	1	1	1	1	1	1	2	1	3
none	11007	1	1	1	1	1	1	1	1	1	1	1	1	1	2
none	11008	1	0	1	1	1	1	1	1	1	1	1	0	1	1
none	11009	2	1	1	1	0	1	1	1	1	1	0	1	0	0
none	11013	1	2	1	1	1	3	1	1	1	1	1	1	1	1
none	11014	1	0	1	1	1	1	1	1	1	1	1	0	1	1
none	11020	3	0	0	0	0	0	0	0	0	1	2	2	0	2
none	11026	1	1	1	2	1	1	1	1	1	1	1	1	1	1
none	11028	0	0	0	0	1	0	0	1	1	0	0	1	0	3
none	11029	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	11031	3	0	1	1	1	1	1	1	1	1	1	0	1	1
none	11034	1	1	1	1	1	1	1	1	1	1	3	1	1	2
none	11035	1	2	1	1	1	1	1	1	1	1	1	1	1	2
none	11041	1	1	1	0	0	1	3	0	0	1	1	1	1	1
none	11046.2	0	1	0	0	0	0	0	0	0	0	0	1	1	1
none	11048	1	1	1	1	1	1	1	1	1	1	1	1	2	1
none	1105	1	1	1	1	1	1	1	1	1	1	1	0	1	1
none	11054	1	1	1	1	1	2	1	1	1	1	1	1	1	1
none	11055	1	0	1	1	1	1	1	1	1	1	1	0	1	2
none	11058	2	1	1	1	1	1	1	1	1	1	1	1	1	1
none	11059	1	1	1	1	1	2	1	1	1	1	0	1	2	1
